

[2019-08-25 23:15:42] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-25 23:33:55] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-26 13:43:27] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-26 14:40:30] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-26 15:21:50] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-26 17:00:25] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-26 19:30:21] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-26 19:59:48] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-26 23:34:01] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-27 00:50:37] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-27 04:27:49] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-27 11:27:17] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-27 14:48:34] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-28 03:54:15] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-28 14:52:33] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-28 16:04:36] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-28 19:43:40] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-28 21:20:28] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-28 22:24:38] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-28 23:21:42] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-29 00:08:11] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-29 01:01:27] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-29 01:06:52] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-29 01:19:00] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-29 03:22:55] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-29 03:55:16] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-29 22:55:35] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-29 23:23:19] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 00:14:06] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 00:28:45] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-30 01:57:30] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 02:11:32] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 02:17:50] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 02:27:07] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 03:16:13] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 07:59:35] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 08:29:46] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2019-08-30 13:06:07] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 13:06:57] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 13:07:46] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 13:08:42] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 13:12:07] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 13:22:04] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 13:22:55] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 13:23:43] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 13:26:17] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 13:55:53] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 14:11:29] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 14:35:04] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 14:48:10] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 15:06:08] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 16:08:36] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2019-08-30 16:35:02] [AppID 346110] CAPIJobStoreUserStats::BInit() - no stats found, aborting
